CCS = "countries/Cuanshi_warlord.txt"  #爨氏
DJD = "countries/Doujiande_warlord.txt"  #窦建德
XA2 = "countries/Djd_Xia.txt"  #窦建德-大夏
DFW = "countries/Dufuwei_warlord.txt"  #杜伏威
WUD = "countries/Dfw_Wu.txt"  #杜伏威-大吴
FA2 = "countries/Fengang_warlord.txt"  #冯盎（名字存在问题）
NYF = "countries/Feng_Nanyue.txt"  #冯盎-南越
GKD = "countries/Gaokaidao_warlord.txt"  #高开道
DY9 = "countries/Gao_Yan.txt"  #高开道-大燕
LSD = "countries/Liangshidu_warlord.txt"  #梁师都
BL2 = "countries/Lsd_Beiliang.txt"  #梁师都-北梁
LG2 = "countries/Ligui_warlord.txt"  #李轨
LSH = "countries/Linshihong_warlord.txt"  #林士弘（名字存在问题）
CH5 = "countries/Lin_Chu.txt"  #林士弘-大楚
LWZ = "countries/Liuwuzhou_warlord.txt"  #刘武周
SFX = "countries/Shenfaxing_warlord.txt"  #沈法兴（名字存在问题）
DL6 = "countries/Sfx_Dongliang.txt"  #沈法兴-东梁
WG2 = "countries/Wagangjun_warlord.txt"  #瓦岗军（李密）
WLM = "countries/Limi_Wei.txt"  #瓦岗军（李密）-大魏
WSC = "countries/Wangshichong_warlord.txt"  #王世充
ZHG = "countries/Dazheng.txt"  #王世充-大郑
XX2 = "countries/Xiaoxian_warlord.txt"  #萧铣
XJ1 = "countries/Xueju_warlord.txt"  #薛举（名字存在问题）
XQX = "countries/Xue_Xiqin.txt"  #薛举-西秦
ZJ1 = "countries/Zhujie_warlord.txt"  #朱桀
BCU = "countries/Zj_Beichu.txt"  #朱桀-北楚
